title,price,size,category,style,brand,ingest_timestamp
#49 zimmermann lace off shoulder top,66.0,6,top,,zimmerman,2024-Dec-30-17:25:11
*nwt agua by agua bendita - orquídea frutal azul cotton pareo,75.0,,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
"agua agua bendita sucre cut-out poplin floral mini dress - orange, s",95.0,S,dress,,aguaByAguaBendita,2024-Dec-30-17:25:01
agua and aguadilla milato fruit,220.0,XS,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua bendita astro esmeralda lavanda sarong pareo wrap skirt floral green,110.0,One Size,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua bendita cuyana set.,250.0,4,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua bendita herbarium mini dress linen navy mini ruffle xs,235.0,XS,dress,,aguaByAguaBendita,2024-Dec-30-17:25:01
agua bendita lima algae maxi dress,650.0,Small,dress,,aguaByAguaBendita,2024-Dec-30-17:25:01
agua bendita lima monarca butterfly embroidered applique maxi dress linen s,440.0,S,dress,,aguaByAguaBendita,2024-Dec-30-17:25:01
agua bendita mambo primavera linen midi dress,245.0,S,dress,,aguaByAguaBendita,2024-Dec-30-17:25:01
"agua by agua bendita
alcachofa printed cotton maxi skirt / crop set size m",147.0,M,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
"agua by agua bendita
bergamota marina floral-embroidery skirt.",340.0,S,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua by agua bendita  print cotton crop 2-pc shorts set m/ l,80.0,M,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua by agua bendita 'bergamota' green printed cotton maxi skirt size s,250.0,S,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
"agua by agua bendita , euc xs esmeralda lima maxi",265.0,XS,dress,,aguaByAguaBendita,2024-Dec-30-17:25:01
agua by agua bendita 2 piece set arrecife anis set printed linen skirt & top set,300.0,M,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua by agua bendita acanella floral halterneck maxi dress,1650.0,S,dress,,aguaByAguaBendita,2024-Dec-30-17:25:01
agua by agua bendita alcachofa sabanero dorado cotton maxi skirt,250.0,XS,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua by agua bendita almendra perla floral maxi dress,900.0,M,dress,,aguaByAguaBendita,2024-Dec-30-17:25:01
agua by agua bendita anis herbal skirt size xs nwt,320.0,XS,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua by agua bendita arroyo caracola midi skirt,2100.0,S,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua by agua bendita bergamota cotton poplin maxi skirt s,285.0,S,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua by agua bendita bergamota marina skirt,480.0,XS,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua by agua bendita bergamota skirt & moringa sabanero nocturno'  crop …,930.0,M,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua by agua bendita bergamota skirt and top,400.0,XS,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua by agua bendita brown off the shoulder mini dress,56.0,M,dress,,aguaByAguaBendita,2024-Dec-30-17:25:01
agua by agua bendita caramelo primavera cotton mini dress,15.0,S,dress,,aguaByAguaBendita,2024-Dec-30-17:25:01
agua by agua bendita curandera floral print strapless dress,179.0,L,dress,,aguaByAguaBendita,2024-Dec-30-17:25:01
agua by agua bendita curcuma skirt nwt large,92.0,L,skirt,,aguaByAguaBendita,2024-Dec-30-17:25:03
agua by agua bendita embroidered butterfly linen maxi dress,396.0,M,dress,,aguaByAguaBendita,2024-Dec-30-17:25:01
